"res_SIGLA_UF";"ano_nasc";"CODMUNNASC";"COUNT(1)"
"RO";"1996";"1100000";"1"
"RO";"1996";"1100015";"609"
"RO";"1996";"1100023";"2611"
"RO";"1996";"1100031";"137"
"RO";"1996";"1100049";"2564"
"RO";"1996";"1100056";"527"
"RO";"1996";"1100064";"775"
"RO";"1996";"1100072";"19"
"RO";"1996";"1100080";"401"
"RO";"1996";"1100098";"592"
"RO";"1996";"1100106";"1182"
"RO";"1996";"1100114";"1642"
"RO";"1996";"1100122";"3258"
"RO";"1996";"1100130";"375"
"RO";"1996";"1100148";"562"
"RO";"1996";"1100155";"1806"
"RO";"1996";"1100189";"1044"
"RO";"1996";"1100205";"8050"
"RO";"1996";"1100254";"502"
"RO";"1996";"1100262";"19"
"RO";"1996";"1100288";"1692"
"RO";"1996";"1100296";"226"
"RO";"1996";"1100304";"1599"
"RO";"1996";"1100320";"340"
"RO";"1996";"1100338";"190"
"RO";"1996";"1100346";"378"
"RO";"1996";"1100403";"107"
"RO";"1996";"1100502";"3"
"RO";"1996";"1100601";"48"
"RO";"1996";"1100700";"27"
"RO";"1996";"1100809";"4"
"RO";"1996";"1100908";"28"
"RO";"1996";"1101005";"34"
"RO";"1996";"1101104";"73"
"RO";"1996";"1101203";"3"
"RO";"1996";"1101302";"177"
"RO";"1996";"1101401";"453"
"RO";"1996";"1101500";"77"
"RO";"1996";"1101609";"37"
"RO";"1996";"1101708";"19"
"RO";"1996";"1200401";"3"
"RO";"1996";"1200500";"1"
"RO";"1996";"1302603";"1"
"RO";"1996";"1722107";"1"
"RO";"1996";"3106200";"1"
"RO";"1996";"3141504";"1"
"RO";"1996";"3200904";"1"
"RO";"1996";"3509502";"1"
"RO";"1996";"3524402";"1"
"RO";"1996";"3526902";"1"
"RO";"1996";"3527207";"1"
"RO";"1996";"3541505";"1"
"RO";"1996";"3544004";"1"
"RO";"1996";"3548708";"2"
"RO";"1996";"3549805";"1"
"RO";"1996";"3550308";"1"
"RO";"1996";"3550605";"1"
"RO";"1996";"4106902";"1"
"RO";"1996";"4115200";"1"
"RO";"1996";"4117107";"1"
"RO";"1996";"4119608";"1"
"RO";"1996";"4126256";"1"
"RO";"1996";"4127502";"1"
"RO";"1996";"4128401";"1"
"RO";"1996";"5001904";"1"
"RO";"1996";"5002704";"1"
"RO";"1996";"5003751";"1"
"RO";"1996";"5102504";"1"
"RO";"1996";"5103403";"1"
"RO";"1996";"5105507";"1"
"RO";"1996";"5106752";"1"
"RO";"1996";"5201108";"1"
"RO";"1996";"5202601";"1"
"RO";"1996";"5208004";"1"
"RO";"1996";"5208707";"4"
"RO";"1996";"5300108";"1"
"RO";"1997";"1100000";"1"
"RO";"1997";"1100015";"553"
"RO";"1997";"1100023";"2707"
"RO";"1997";"1100031";"103"
"RO";"1997";"1100049";"2490"
"RO";"1997";"1100056";"475"
"RO";"1997";"1100064";"526"
"RO";"1997";"1100072";"28"
"RO";"1997";"1100080";"351"
"RO";"1997";"1100098";"533"
"RO";"1997";"1100106";"1002"
"RO";"1997";"1100114";"1358"
"RO";"1997";"1100122";"3183"
"RO";"1997";"1100130";"368"
"RO";"1997";"1100148";"528"
"RO";"1997";"1100155";"717"
"RO";"1997";"1100189";"921"
"RO";"1997";"1100205";"8482"
"RO";"1997";"1100254";"389"
"RO";"1997";"1100262";"16"
"RO";"1997";"1100288";"1543"
"RO";"1997";"1100296";"259"
"RO";"1997";"1100304";"1085"
"RO";"1997";"1100320";"312"
"RO";"1997";"1100338";"234"
"RO";"1997";"1100346";"554"
"RO";"1997";"1100379";"29"
"RO";"1997";"1100403";"59"
"RO";"1997";"1100452";"1"
"RO";"1997";"1100502";"3"
"RO";"1997";"1100601";"38"
"RO";"1997";"1100700";"63"
"RO";"1997";"1100809";"4"
"RO";"1997";"1100908";"16"
"RO";"1997";"1100940";"3"
"RO";"1997";"1101005";"120"
"RO";"1997";"1101104";"18"
"RO";"1997";"1101203";"66"
"RO";"1997";"1101302";"280"
"RO";"1997";"1101401";"405"
"RO";"1997";"1101435";"4"
"RO";"1997";"1101476";"2"
"RO";"1997";"1101484";"1"
"RO";"1997";"1101492";"15"
"RO";"1997";"1101500";"106"
"RO";"1997";"1101609";"46"
"RO";"1997";"1101708";"18"
"RO";"1997";"1101757";"23"
"RO";"1997";"1200401";"1"
"RO";"1997";"1300144";"1"
"RO";"1997";"1702554";"1"
"RO";"1997";"1709500";"1"
"RO";"1997";"2702306";"1"
"RO";"1997";"3105608";"1"
"RO";"1997";"3205309";"2"
"RO";"1997";"3345048";"1"
"RO";"1997";"3511102";"1"
"RO";"1997";"3518800";"1"
"RO";"1997";"3529005";"1"
"RO";"1997";"3541604";"1"
"RO";"1997";"4104808";"1"
"RO";"1997";"4106902";"3"
"RO";"1997";"4115200";"1"
"RO";"1997";"4125704";"1"
"RO";"1997";"5002704";"1"
"RO";"1997";"5003207";"1"
"RO";"1997";"5103403";"7"
"RO";"1997";"5105622";"2"
"RO";"1997";"5208707";"1"
"RO";"1997";"5213103";"1"
"RO";"1998";"1100000";"7"
"RO";"1998";"1100015";"650"
"RO";"1998";"1100023";"2335"
"RO";"1998";"1100031";"117"
"RO";"1998";"1100049";"2240"
"RO";"1998";"1100056";"520"
"RO";"1998";"1100064";"511"
"RO";"1998";"1100072";"46"
"RO";"1998";"1100080";"289"
"RO";"1998";"1100098";"597"
"RO";"1998";"1100106";"1158"
"RO";"1998";"1100114";"1487"
"RO";"1998";"1100122";"2938"
"RO";"1998";"1100130";"384"
"RO";"1998";"1100148";"499"
"RO";"1998";"1100155";"1465"
"RO";"1998";"1100189";"1026"
"RO";"1998";"1100205";"8323"
"RO";"1998";"1100254";"463"
"RO";"1998";"1100262";"13"
"RO";"1998";"1100288";"1521"
"RO";"1998";"1100296";"194"
"RO";"1998";"1100304";"1570"
"RO";"1998";"1100320";"239"
"RO";"1998";"1100338";"220"
"RO";"1998";"1100346";"516"
"RO";"1998";"1100379";"24"
"RO";"1998";"1100403";"44"
"RO";"1998";"1100452";"1"
"RO";"1998";"1100502";"4"
"RO";"1998";"1100601";"61"
"RO";"1998";"1100700";"67"
"RO";"1998";"1100908";"5"
"RO";"1998";"1100924";"13"
"RO";"1998";"1101005";"146"
"RO";"1998";"1101104";"48"
"RO";"1998";"1101203";"50"
"RO";"1998";"1101302";"372"
"RO";"1998";"1101401";"410"
"RO";"1998";"1101435";"15"
"RO";"1998";"1101476";"1"
"RO";"1998";"1101484";"1"
"RO";"1998";"1101492";"37"
"RO";"1998";"1101500";"100"
"RO";"1998";"1101609";"51"
"RO";"1998";"1101708";"94"
"RO";"1998";"1101757";"64"
"RO";"1998";"1200401";"1"
"RO";"1998";"3139607";"1"
"RO";"1998";"3204708";"2"
"RO";"1998";"3306305";"1"
"RO";"1998";"3540408";"1"
"RO";"1998";"3543402";"1"
"RO";"1998";"4101408";"1"
"RO";"1998";"4104808";"1"
"RO";"1998";"4106902";"3"
"RO";"1998";"4119905";"1"
"RO";"1998";"5007406";"1"
"RO";"1998";"5103403";"10"
"RO";"1998";"5105150";"1"
"RO";"1998";"5107750";"1"
"RO";"1998";"5218300";"1"
"RO";"1998";"5300108";"1"
"RO";"1999";"1100015";"670"
"RO";"1999";"1100023";"1929"
"RO";"1999";"1100031";"119"
"RO";"1999";"1100049";"2401"
"RO";"1999";"1100056";"494"
"RO";"1999";"1100064";"393"
"RO";"1999";"1100072";"30"
"RO";"1999";"1100080";"315"
"RO";"1999";"1100098";"570"
"RO";"1999";"1100106";"1194"
"RO";"1999";"1100114";"1466"
"RO";"1999";"1100122";"3051"
"RO";"1999";"1100130";"320"
"RO";"1999";"1100148";"515"
"RO";"1999";"1100155";"1453"
"RO";"1999";"1100189";"1087"
"RO";"1999";"1100205";"8333"
"RO";"1999";"1100254";"485"
"RO";"1999";"1100262";"18"
"RO";"1999";"1100288";"1548"
"RO";"1999";"1100296";"239"
"RO";"1999";"1100304";"1649"
"RO";"1999";"1100320";"340"
"RO";"1999";"1100338";"241"
"RO";"1999";"1100346";"351"
"RO";"1999";"1100379";"23"
"RO";"1999";"1100403";"41"
"RO";"1999";"1100452";"71"
"RO";"1999";"1100502";"5"
"RO";"1999";"1100601";"84"
"RO";"1999";"1100700";"80"
"RO";"1999";"1100908";"3"
"RO";"1999";"1100924";"16"
"RO";"1999";"1100940";"26"
"RO";"1999";"1101005";"159"
"RO";"1999";"1101104";"89"
"RO";"1999";"1101203";"25"
"RO";"1999";"1101302";"288"
"RO";"1999";"1101401";"511"
"RO";"1999";"1101435";"13"
"RO";"1999";"1101492";"69"
"RO";"1999";"1101500";"80"
"RO";"1999";"1101609";"68"
"RO";"1999";"1101708";"109"
"RO";"1999";"1101757";"58"
"RO";"1999";"1200385";"4"
"RO";"1999";"1200401";"6"
"RO";"1999";"1302603";"2"
"RO";"1999";"2203701";"1"
"RO";"1999";"2910800";"1"
"RO";"1999";"2918407";"1"
"RO";"1999";"3122108";"1"
"RO";"1999";"3139607";"2"
"RO";"1999";"3204005";"1"
"RO";"1999";"3205309";"1"
"RO";"1999";"3543402";"1"
"RO";"1999";"3550308";"3"
"RO";"1999";"4106902";"3"
"RO";"1999";"4115200";"1"
"RO";"1999";"4314902";"1"
"RO";"1999";"5002704";"2"
"RO";"1999";"5103379";"1"
"RO";"1999";"5103403";"7"
"RO";"1999";"5105150";"1"
"RO";"1999";"5107602";"1"
"RO";"1999";"5208004";"3"
"RO";"1999";"5208707";"4"
"RO";"2000";"1100015";"638"
"RO";"2000";"1100023";"2661"
"RO";"2000";"1100031";"94"
"RO";"2000";"1100049";"2117"
"RO";"2000";"1100056";"245"
"RO";"2000";"1100064";"519"
"RO";"2000";"1100072";"22"
"RO";"2000";"1100080";"340"
"RO";"2000";"1100098";"566"
"RO";"2000";"1100106";"1248"
"RO";"2000";"1100114";"1308"
"RO";"2000";"1100122";"2848"
"RO";"2000";"1100130";"536"
"RO";"2000";"1100148";"534"
"RO";"2000";"1100155";"1505"
"RO";"2000";"1100189";"943"
"RO";"2000";"1100205";"8314"
"RO";"2000";"1100254";"488"
"RO";"2000";"1100262";"6"
"RO";"2000";"1100288";"1526"
"RO";"2000";"1100296";"228"
"RO";"2000";"1100304";"1485"
"RO";"2000";"1100320";"200"
"RO";"2000";"1100338";"208"
"RO";"2000";"1100346";"510"
"RO";"2000";"1100379";"10"
"RO";"2000";"1100403";"32"
"RO";"2000";"1100452";"474"
"RO";"2000";"1100502";"12"
