"","ano_nasc","CODMUNNASC","nasc","ignorado_raca","incom_ig_raca"
"1",1996,1100000,1,1,100
"2",1996,1100015,609,608,99.84
"3",1996,1100023,2611,2606,99.81
"4",1996,1100031,139,139,100
"5",1996,1100049,2566,2566,100
"6",1996,1100056,529,529,100
"7",1996,1100064,775,775,100
"8",1996,1100072,19,19,100
"9",1996,1100080,402,402,100
"10",1996,1100098,592,591,99.83
"11",1996,1100106,1182,1182,100
"12",1996,1100114,1643,1640,99.82
"13",1996,1100122,3270,3269,99.97
"14",1996,1100130,376,376,100
"15",1996,1100148,563,562,99.82
"16",1996,1100155,1808,1799,99.5
"17",1996,1100189,1047,1047,100
"18",1996,1100205,8051,8051,100
"19",1996,1100254,504,504,100
"20",1996,1100262,19,19,100
"21",1996,1100288,1692,1692,100
"22",1996,1100296,226,226,100
"23",1996,1100304,1658,1658,100
"24",1996,1100320,340,340,100
"25",1996,1100338,191,191,100
"26",1996,1100346,378,377,99.74
"27",1996,1100403,107,107,100
"28",1996,1100502,3,3,100
"29",1996,1100601,48,48,100
"30",1996,1100700,27,27,100
"31",1996,1100809,4,4,100
"32",1996,1100908,28,28,100
"33",1996,1101005,34,34,100
"34",1996,1101104,73,73,100
"35",1996,1101203,3,3,100
"36",1996,1101302,177,175,98.87
"37",1996,1101401,453,453,100
"38",1996,1101500,77,76,98.7
"39",1996,1101609,37,37,100
"40",1996,1101708,19,19,100
"41",1996,1200000,97,97,100
"42",1996,1200013,64,64,100
"43",1996,1200054,92,92,100
"44",1996,1200104,325,325,100
"45",1996,1200138,9,9,100
"46",1996,1200179,1,1,100
"47",1996,1200203,2420,2420,100
"48",1996,1200252,24,24,100
"49",1996,1200302,333,333,100
"50",1996,1200336,210,210,100
"51",1996,1200344,95,95,100
"52",1996,1200351,57,57,100
"53",1996,1200385,388,388,100
"54",1996,1200393,9,9,100
"55",1996,1200401,8494,8494,100
"56",1996,1200450,52,52,100
"57",1996,1200500,743,743,100
"58",1996,1200609,333,333,100
"59",1996,1200708,64,64,100
"60",1996,1200807,15,15,100
"61",1996,1300102,224,180,80.36
"62",1996,1300144,279,276,98.92
"63",1996,1300201,122,122,100
"64",1996,1300300,245,243,99.18
"65",1996,1300409,49,48,97.96
"66",1996,1300508,150,150,100
"67",1996,1300607,45,45,100
"68",1996,1300631,68,68,100
"69",1996,1300680,44,42,95.45
"70",1996,1300706,371,371,100
"71",1996,1300805,113,113,100
"72",1996,1300904,126,125,99.21
"73",1996,1301001,290,270,93.1
"74",1996,1301100,259,214,82.63
"75",1996,1301209,1086,1081,99.54
"76",1996,1301308,390,366,93.85
"77",1996,1301407,176,175,99.43
"78",1996,1301506,200,200,100
"79",1996,1301605,11,11,100
"80",1996,1301654,123,122,99.19
"81",1996,1301704,759,758,99.87
"82",1996,1301803,43,42,97.67
"83",1996,1301852,112,109,97.32
"84",1996,1301902,1283,1273,99.22
"85",1996,1301951,52,52,100
"86",1996,1302009,120,110,91.67
"87",1996,1302207,49,49,100
"88",1996,1302405,580,579,99.83
"89",1996,1302504,1577,1563,99.11
"90",1996,1302553,84,74,88.1
"91",1996,1302603,36299,27263,75.11
"92",1996,1302702,427,421,98.59
"93",1996,1302801,50,50,100
"94",1996,1302900,773,771,99.74
"95",1996,1303007,120,119,99.17
"96",1996,1303106,282,282,100
"97",1996,1303205,3,3,100
"98",1996,1303304,223,202,90.58
"99",1996,1303403,76,8,10.53
"100",1996,1303536,204,201,98.53
"101",1996,1303569,72,72,100
"102",1996,1303601,31,31,100
"103",1996,1303809,362,332,91.71
"104",1996,1303957,43,43,100
"105",1996,1304005,42,28,66.67
"106",1996,1304062,488,454,93.03
"107",1996,1304104,173,173,100
"108",1996,1304203,101,98,97.03
"109",1996,1304302,303,269,88.78
"110",1996,1304401,75,74,98.67
"111",1996,1400050,121,115,95.04
"112",1996,1400100,6372,6372,100
"113",1996,1400159,65,65,100
"114",1996,1400209,244,243,99.59
"115",1996,1400308,200,200,100
"116",1996,1400407,76,76,100
"117",1996,1400506,56,56,100
"118",1996,1400605,234,234,100
"119",1996,1500000,5,5,100
"120",1996,1500107,2871,2865,99.79
"121",1996,1500131,10,10,100
"122",1996,1500206,222,221,99.55
"123",1996,1500305,297,297,100
"124",1996,1500347,28,28,100
"125",1996,1500404,328,328,100
"126",1996,1500503,1817,1808,99.5
"127",1996,1500602,2389,2380,99.62
"128",1996,1500701,148,147,99.32
"129",1996,1500800,4860,4847,99.73
"130",1996,1500909,32,32,100
"131",1996,1500958,5,5,100
"132",1996,1501105,49,49,100
"133",1996,1501204,32,32,100
"134",1996,1501303,1360,1357,99.78
"135",1996,1501402,35971,35916,99.85
"136",1996,1501501,799,799,100
"137",1996,1501576,100,100,100
"138",1996,1501600,89,88,98.88
"139",1996,1501709,2145,2142,99.86
"140",1996,1501725,200,200,100
"141",1996,1501758,23,23,100
"142",1996,1501782,1,1,100
"143",1996,1501808,1481,1477,99.73
"144",1996,1501907,144,144,100
"145",1996,1502004,116,115,99.14
"146",1996,1502103,618,616,99.68
"147",1996,1502202,2391,2387,99.83
"148",1996,1502301,502,502,100
"149",1996,1502400,4267,4259,99.81
"150",1996,1502509,55,55,100
"151",1996,1502608,136,135,99.26
"152",1996,1502707,729,727,99.73
"153",1996,1502756,189,189,100
"154",1996,1502772,296,295,99.66
"155",1996,1502806,156,156,100
"156",1996,1502905,120,120,100
"157",1996,1502939,774,769,99.35
"158",1996,1503002,77,77,100
"159",1996,1503077,438,437,99.77
"160",1996,1503093,411,411,100
"161",1996,1503101,309,308,99.68
"162",1996,1503200,401,400,99.75
"163",1996,1503309,434,434,100
"164",1996,1503408,18,18,100
"165",1996,1503457,39,39,100
"166",1996,1503507,100,99,99
"167",1996,1503606,1,1,100
"168",1996,1503705,153,153,100
"169",1996,1503754,2,2,100
"170",1996,1503804,344,344,100
"171",1996,1503903,130,130,100
"172",1996,1504000,188,188,100
"173",1996,1504059,1082,1082,100
"174",1996,1504109,92,92,100
"175",1996,1504208,1673,1670,99.82
"176",1996,1504307,243,242,99.59
"177",1996,1504406,142,142,100
"178",1996,1504455,1,1,100
"179",1996,1504505,37,37,100
"180",1996,1504604,217,216,99.54
"181",1996,1504703,452,452,100
"182",1996,1504802,1054,1050,99.62
"183",1996,1504901,243,243,100
"184",1996,1504950,9,9,100
"185",1996,1505007,31,31,100
"186",1996,1505031,2,2,100
"187",1996,1505064,722,722,100
"188",1996,1505106,274,274,100
"189",1996,1505205,255,255,100
"190",1996,1505304,861,858,99.65
"191",1996,1505403,185,185,100
"192",1996,1505437,468,468,100
"193",1996,1505486,139,139,100
"194",1996,1505494,36,36,100
"195",1996,1505502,813,812,99.88
"196",1996,1505536,2131,2126,99.77
"197",1996,1505551,12,12,100
"198",1996,1505601,7,7,100
"199",1996,1505700,140,140,100
"200",1996,1505809,506,505,99.8
"201",1996,1505908,262,262,100
"202",1996,1506005,242,242,100
"203",1996,1506104,121,121,100
"204",1996,1506138,1511,1506,99.67
"205",1996,1506161,537,532,99.07
"206",1996,1506187,1,1,100
"207",1996,1506195,490,489,99.8
"208",1996,1506203,241,241,100
"209",1996,1506302,94,93,98.94
"210",1996,1506401,67,67,100
"211",1996,1506500,1598,1595,99.81
"212",1996,1506559,76,76,100
"213",1996,1506583,42,42,100
"214",1996,1506609,270,270,100
"215",1996,1506708,384,383,99.74
"216",1996,1506807,4498,4479,99.58
"217",1996,1506906,23,23,100
"218",1996,1507003,397,397,100
"219",1996,1507102,110,110,100
"220",1996,1507151,476,475,99.79
"221",1996,1507201,175,175,100
"222",1996,1507300,357,357,100
"223",1996,1507409,21,21,100
"224",1996,1507458,7,7,100
"225",1996,1507474,134,134,100
"226",1996,1507508,9,8,88.89
"227",1996,1507607,958,956,99.79
"228",1996,1507706,297,297,100
"229",1996,1507805,69,68,98.55
"230",1996,1507904,420,420,100
"231",1996,1507953,554,554,100
"232",1996,1507961,17,17,100
"233",1996,1507979,194,194,100
"234",1996,1508001,243,243,100
"235",1996,1508084,530,529,99.81
"236",1996,1508100,2175,2172,99.86
"237",1996,1508126,46,46,100
"238",1996,1508159,109,109,100
"239",1996,1508209,524,524,100
"240",1996,1508308,182,182,100
"241",1996,1508357,2,2,100
"242",1996,1508407,435,435,100
"243",1996,1600055,178,178,100
"244",1996,1600105,34,34,100
"245",1996,1600154,6,6,100
"246",1996,1600204,130,130,100
"247",1996,1600212,14,14,100
"248",1996,1600238,39,39,100
"249",1996,1600279,56,56,100
"250",1996,1600303,9721,9721,100
"251",1996,1600402,102,102,100
"252",1996,1600501,15,15,100
"253",1996,1600535,92,92,100
"254",1996,1600600,2828,2828,100
"255",1996,1600709,70,70,100
"256",1996,1700000,41,41,100
"257",1996,1700350,61,61,100
"258",1996,1700400,159,157,98.74
"259",1996,1700707,90,89,98.89
"260",1996,1701002,400,392,98
"261",1996,1701101,12,8,66.67
"262",1996,1701309,7,7,100
"263",1996,1701903,122,105,86.07
"264",1996,1702000,145,143,98.62
"265",1996,1702109,3825,3471,90.75
"266",1996,1702158,22,22,100
"267",1996,1702208,465,442,95.05
"268",1996,1702307,108,101,93.52
"269",1996,1702406,320,318,99.38
"270",1996,1702554,692,635,91.76
"271",1996,1702703,7,7,100
"272",1996,1702901,179,179,100
"273",1996,1703008,16,16,100
"274",1996,1703107,4,4,100
"275",1996,1703206,2,2,100
"276",1996,1703602,5,5,100
"277",1996,1703701,128,127,99.22
"278",1996,1703800,155,154,99.35
"279",1996,1703826,7,6,85.71
"280",1996,1703842,12,12,100
"281",1996,1703867,3,3,100
"282",1996,1703891,4,4,100
"283",1996,1703909,63,58,92.06
"284",1996,1704105,1,1,100
"285",1996,1705508,1155,1069,92.55
"286",1996,1705557,123,123,100
"287",1996,1705607,46,44,95.65
"288",1996,1706001,24,24,100
"289",1996,1706100,269,269,100
"290",1996,1707009,544,541,99.45
"291",1996,1707108,55,55,100
"292",1996,1707207,37,37,100
"293",1996,1707306,4,4,100
"294",1996,1707405,17,17,100
"295",1996,1707553,26,23,88.46
"296",1996,1707652,39,39,100
"297",1996,1707702,90,89,98.89
